Ride_ID,Pickup_Location,Drop_Location,Distance_KM,Duration_Minutes,Fare_Amount,Driver_ID,Customer_Rating,Cancellation_Status,Time_of_Day,Day_of_Week,Vehicle_Type
RIDE100000,Thane,Powai,26.21,71,353.53,D1104,3.7,No,Morning,Fri,SUV
RIDE100001,Andheri,Powai,4.19,11,104.96,D1574,1.8,No,Night,Tue,SUV
RIDE100002,Panvel,Vikhroli,28.52,71,859.75,D1714,2.7,No,Afternoon,Sun,Sedan
RIDE100003,Thane,Kurla,13.92,39,258.9,D1270,4.2,No,Morning,Thu,Auto
RIDE100004,Vashi,Vikhroli,29.2,91,921.05,D1591,1.8,Yes,Afternoon,Sun,Sedan
RIDE100005,Thane,Ghatkopar,30.46,87,649.87,D1854,2.5,No,Afternoon,Sat,Sedan
RIDE100006,Thane,Juhu,22.59,68,364.16,D1473,2.5,No,Afternoon,Sat,Sedan
RIDE100007,Andheri,Ghatkopar,28.94,95,579.64,D1067,1.8,No,Evening,Tue,SUV
RIDE100008,Mulund,Matunga,5.86,15,167.74,D1551,2.1,No,Night,Wed,Mini
RIDE100009,Bandra,Worli,17.78,57,560.56,D1156,3.5,No,Night,Fri,Auto
RIDE100010,Mulund,Wadala,21.26,63,346.23,D1566,4.4,Yes,Morning,Sat,Sedan
RIDE100011,Dadar,Kurla,10.98,29,110.69,D1739,4.5,No,Afternoon,Fri,Auto
RIDE100012,Kalyan,Worli,21.7,57,630.66,D1552,4.8,No,Morning,Fri,Sedan
RIDE100013,Borivali,Powai,4.8,13,166.24,D1826,2.2,Yes,Morning,Mon,SUV
RIDE100014,Thane,Worli,27.04,71,591.69,D1562,1.7,No,Night,Tue,Mini
RIDE100015,Kalyan,Wadala,34.84,109,729.99,D1529,2.8,No,Morning,Wed,Auto
RIDE100016,Panvel,Worli,8.82,23,103.85,D1646,1.2,Yes,Morning,Sun,Sedan
RIDE100017,Thane,Worli,9.09,28,139.59,D1135,3.9,No,Night,Tue,SUV
RIDE100018,Mulund,Ghatkopar,4.21,13,79.39,D1420,2.9,No,Morning,Mon,SUV
RIDE100019,Dadar,Kurla,9.45,25,200.48,D1432,1.7,No,Morning,Thu,Auto
RIDE100020,Andheri,Worli,29.42,102,975.54,D1869,1.9,No,Night,Tue,SUV
RIDE100021,Andheri,Chembur,13.89,48,230.99,D1802,4.1,No,Night,Tue,Mini
RIDE100022,Kalyan,Ghatkopar,33.94,104,799.45,D1765,2.3,Yes,Night,Fri,Mini
RIDE100023,Andheri,Worli,3.72,9,92.54,D1691,4.4,No,Afternoon,Fri,Auto
RIDE100024,Panvel,Kurla,15.25,47,351.81,D1957,2.0,No,Evening,Tue,Sedan
RIDE100025,Mulund,Chembur,23.84,66,426.84,D1769,4.7,Yes,Morning,Mon,Mini
RIDE100026,Vashi,Vikhroli,5.5,15,64.46,D1250,2.5,No,Evening,Fri,Auto
RIDE100027,Vashi,Vikhroli,32.68,85,1044.23,D1270,1.5,No,Afternoon,Wed,Sedan
RIDE100028,Panvel,Ghatkopar,25.4,68,656.74,D1270,3.0,No,Morning,Mon,SUV
RIDE100029,Kalyan,Powai,1.12,3,29.04,D1268,1.6,No,Night,Fri,Auto
RIDE100030,Thane,Kurla,33.13,105,454.75,D1036,4.3,No,Afternoon,Thu,Mini
RIDE100031,Andheri,Vikhroli,13.4,46,459.69,D1040,4.6,No,Afternoon,Sat,Auto
RIDE100032,Dadar,Worli,31.06,90,792.54,D1158,4.7,No,Afternoon,Sun,Mini
RIDE100033,Mulund,Powai,7.1,24,209.87,D1421,4.2,No,Afternoon,Wed,Mini
RIDE100034,Thane,Wadala,30.65,102,476.94,D1836,4.7,No,Afternoon,Tue,Auto
RIDE100035,Colaba,Wadala,12.16,40,415.53,D1285,2.4,No,Evening,Mon,Auto
RIDE100036,Kalyan,Chembur,20.74,72,227.24,D1610,2.7,No,Evening,Thu,Auto
RIDE100037,Mulund,Juhu,7.46,18,155.92,D1532,4.7,No,Afternoon,Wed,SUV
